Time (s),Signal Value
0.01,289.6094146327008
0.02,297.47086377860285
0.03,287.7473429188359
0.04,275.5074331257215
0.05,270.6020794286531
0.06,266.4184141855953
0.07,244.28008927593785
0.08,211.93616883367318
0.09,214.95671545320099
0.10,234.2356535177336
0.11,263.2863917655942
0.12,265.28116562378517
0.13,253.92682873790014
0.14,240.97116453617332
0.15,236.1139175974774
0.16,241.0372783414939
0.17,218.83718691275763
0.18,192.58594320958042
0.19,222.72557595183747
0.20,292.5538871067894
0.21,345.2556933682092
0.22,363.30447086876734
0.23,320.6927438308916
0.24,278.70541223447276
0.25,248.10255195980585
0.26,231.8951409837161
0.27,178.24289282617173
0.28,139.5084227268946
0.29,159.3590413385337
0.30,205.02322788001095
0.31,289.4546721288205
0.32,311.33287664880163
0.33,285.3445049955126
0.34,271.40210307775925
0.35,278.85161189760015
0.36,276.32107276665306
0.37,244.25413195750664
0.38,220.28865019829922
0.39,222.32395481659813
0.40,263.2234144776818
0.41,312.1745380458813
0.42,317.78109638891823
0.43,265.03938979612127
0.44,232.07962958314172
0.45,208.46464596359172
0.46,205.8555959783393
0.47,179.8588832316536
0.48,153.6369146120208
0.49,184.89025385698204
0.50,254.83795476301054
0.51,324.24245254680704
0.52,342.13101016529345
0.53,326.7349714343508
0.54,294.4575445296778
0.55,288.235605998195
0.56,272.1110879451337
0.57,233.23850516201537
0.58,184.16703236565235
0.59,185.69981781845365
0.60,225.71503060675164
0.61,276.8931113308815
0.62,277.2641260043815
0.63,242.49242158699718
0.64,235.5194799975054
0.65,237.47791828136812
0.66,236.8061310565111
0.67,218.06589804667345
0.68,205.26851064741055
0.69,230.94625897441898
0.70,274.4658852919537
0.71,329.0437868686279
0.72,325.6811322925866
0.73,300.88062354232875
0.74,268.78528331075853
0.75,245.87513226789753
0.76,234.148458997997
0.77,193.2939264616349
0.78,161.6903726025746
0.79,175.33418409261645
0.80,218.90377868001815
0.81,271.7649489119066
0.82,297.57048134491635
0.83,277.82492507329914
0.84,262.93989175814056
0.85,260.50021081079063
0.86,266.34145789805956
0.87,254.4481203109376
0.88,216.52231410171265
0.89,233.21960810166757
0.90,268.2048888134306
0.91,301.66738181412006
0.92,299.40549208420424
0.93,265.0999644168257
0.94,235.07973766865754
0.95,227.56606862650517
0.96,215.86413607887536
0.97,200.01627431456305
0.98,171.86327253795588
0.99,200.90234363633786
1.00,245.71562939424012
1.01,296.6350213485478
1.02,309.9756320438695
1.03,293.52472317846576
1.04,278.5514353862955
1.05,275.5506609110149
1.06,265.7050062303039
1.07,242.2281134479612
1.08,215.69075554356186
1.09,204.3641162809481
1.10,238.83510978283357
1.11,262.2454060647329
1.12,266.136303000479
1.13,251.80615766205761
1.14,232.3534906552252
1.15,235.58944454605557
1.16,238.2625697665664
1.17,236.21591789835864
1.18,223.0198481358544
1.19,235.38710194157943
1.20,275.2082158917993
1.21,306.32776188721016
1.22,294.2763638283632
1.23,273.6718324460311
1.24,257.39941462991777
1.25,251.48129565649205
1.26,239.75361459243396
1.27,225.6016745369397
1.28,213.1674074970262
1.29,216.33112234988783
1.30,235.19650944582665
1.31,262.7755724957396
1.32,272.57969266835534
1.33,259.57828186927594
1.34,252.35834402005545
1.35,259.35218102192806
1.36,258.279948526306
1.37,246.56826332745052
1.38,238.86665789464573
1.39,242.83143485296844
1.40,258.1143298122081
1.41,276.38072030675164
1.42,273.7084879827019
1.43,256.1101420756877
1.44,241.72806716744867
1.45,239.17068033540824
1.46,232.1428373537101
1.47,223.8490920457329
1.48,214.1812623216113
1.49,221.3411383003813
1.50,249.90118404095531
1.51,275.16407469132884
1.52,286.48717208837553
1.53,273.2851925129156
1.54,268.22851565800534
1.55,262.8162327504562
1.56,256.4840169141045
1.57,243.1452920545936
1.58,203.1455592427878
1.59,197.92457085100676
1.60,239.53707454377334
1.61,275.58471159607285
1.62,268.94124325169844
1.63,255.22622134058994
1.64,227.29037096172905
1.65,228.74632032978045
1.66,244.95994091897066
1.67,226.58797449973957
1.68,208.57306351745618
1.69,226.07127937979095
1.70,275.15817802875256
1.71,319.64861287612246
1.72,331.0169909448019
1.73,296.3255553853765
1.74,268.41901681674165
1.75,246.94748954476717
1.76,237.48816464673808
1.77,197.03585215697646
1.78,174.20853599640782
1.79,172.50717123528608
1.80,225.8505419711519
1.81,270.55444219976454
1.82,285.4675635747734
1.83,268.96246360908873
1.84,268.54821509163963
1.85,270.7407898812942
1.86,274.9303113727437
1.87,253.95411260189684
1.88,219.05091907368495
1.89,233.18315019275437
1.90,271.94240315356046
1.91,297.2597368425605
1.92,295.43957380751147
1.93,257.2182587315055
1.94,233.74468153360183
1.95,218.12869899835437
1.96,212.08822617486834
1.97,191.6445338620962
1.98,180.9933757753003
1.99,201.32977084757044
2.00,249.38397499382833
2.01,320.483782473333
2.02,340.9160723798176
2.03,319.61896548733307
2.04,285.6357057466371
2.05,290.4876214037185
2.06,271.85875142507325
2.07,224.45540887633177
2.08,191.66662441007776
2.09,185.92997503761995
2.10,233.48261382543595
2.11,273.21689642057015
2.12,287.2164243663198
2.13,254.8710248415151
2.14,221.04939168262595
2.15,225.33054701039413
2.16,227.89104345030628
2.17,210.7293704613295
2.18,192.79455253415682
2.19,225.30267543067382
2.20,282.7587790220594
2.21,346.4658406447099
2.22,343.3142180157855
2.23,318.07772354520625
2.24,263.4452027140219
2.25,243.0073346905619
2.26,230.14173398633025
2.27,192.60293961085614
2.28,158.7518162282047
2.29,164.53797458676706
2.30,208.75575042715616
2.31,277.7021226945117
2.32,297.4784679826521
2.33,274.56022828720484
2.34,256.64723944528185
2.35,276.40473778777005
2.36,268.0693636250194
2.37,252.97320834869572
2.38,224.0328219737821
2.39,215.5839007867644
2.40,276.9703728807875
2.41,320.78191597983624
2.42,309.02981281982335
2.43,265.1317262631539
2.44,236.0601890631402
2.45,215.50259932919815
2.46,216.43880897113584
2.47,188.25441893946643
2.48,166.52762470288513
2.49,184.58861657254124
2.50,251.20011101695633
2.51,318.34228122245185
2.52,342.71385697769927
2.53,315.77407665668295
2.54,287.0255870537677
2.55,286.6934627410849
2.56,278.06538050767574
2.57,235.9652338249767
2.58,194.2867277928035
2.59,181.95072339047545
2.60,221.2339682472514
2.61,278.7137497540287
2.62,286.48367846117003
2.63,251.44835277444685
2.64,229.17388597464384
2.65,232.9311315771817
2.66,233.54924030070143
2.67,220.8424183166077
2.68,197.20274516234747
2.69,208.92870362337328
2.70,290.3662646059994
2.71,360.2310712689541
2.72,372.8533601916362
2.73,322.8516701824026
2.74,264.02386028793137
2.75,260.38402182325274
2.76,227.79956371362067
2.77,179.48229866694894
2.78,124.60583031959817
2.79,131.61811270864206
2.80,201.33513006391496
2.81,291.70507464530806
2.82,314.6125159969006
2.83,293.4159221031698
2.84,262.99201916945674
2.85,285.79994392612554
2.86,270.05243432981223
2.87,243.28902176818795
2.88,212.780995173577
2.89,224.13912105291553
2.90,281.8504307318987
2.91,323.6793473270203
2.92,338.442446279145
2.93,275.59159631700163
2.94,226.64747260283877
2.95,197.64884170056396
2.96,204.55596126410302
2.97,165.7954105524464
2.98,142.0306797737918
2.99,156.95448634436724
3.00,246.9198727681167
3.01,365.99541068502583
3.02,379.7164988806717
3.03,353.0174261788608
3.04,311.9688539615708
3.05,299.5983781261215
3.06,295.51183350089696
3.07,219.3058814071223
3.08,156.59500522340193
3.09,151.66459890047832
3.10,220.29349603776762
3.11,277.2584446103881
3.12,305.74205588090484
3.13,251.73481038157516
3.14,202.45560544441673
3.15,230.0734519540411
3.16,236.32859848360067
3.17,191.03941065456507
3.18,163.42665135699903
3.19,201.78585603878867
3.20,311.9397323959085
3.21,377.384826617042
3.22,406.58764994333546
3.23,338.2318387086697
3.24,270.7200280641933
3.25,246.9961069288728
3.26,232.97614540355823
3.27,167.10493745119942
3.28,143.87982149293606
3.29,155.41751078302926
3.30,216.68021568421523
3.31,273.9933276183743
3.32,293.84998959338617
3.33,290.1608565897641
3.34,256.5799574241448
3.35,276.4802719302705
3.36,273.35497625715175
3.37,244.72581885823564
3.38,214.77702374079206
3.39,226.91420623085867
3.40,271.9571469982759
3.41,314.44594345801096
3.42,309.71333980569744
3.43,263.534159200625
3.44,231.40596682871666
3.45,221.74538569528707
3.46,199.96363486389453
3.47,171.15047805342664
3.48,144.51975994685404
3.49,172.93534015660367
3.50,248.67098636878492
3.51,324.42112445556813
3.52,356.3090311321828
3.53,315.7509809386462
3.54,272.6258043469449
3.55,268.3410006047049
3.56,263.71451252409037
3.57,238.07583173060237
3.58,218.1090703931836
3.59,214.95364844774184
3.60,237.7020303382684
3.61,263.6534366111414
3.62,266.6805122820313
3.63,251.00640271982263
3.64,239.6161011801743
3.65,243.31614337221677
3.66,239.7518113527534
3.67,235.46052130558877
3.68,225.96974570091743
3.69,232.1604543851845
3.70,268.98370963520347
3.71,293.64777278601326
3.72,301.7064738136339
3.73,282.4614444838317
3.74,262.3806237700297
3.75,252.64787952601247
3.76,241.01188186581814
3.77,219.4865438743441
3.78,198.18051034742012
3.79,216.1377220794182
3.80,238.1815279726333
3.81,258.19504057737083
3.82,269.07243357556854
3.83,259.78815133314595
3.84,255.33792175439456
3.85,256.57224027066337
3.86,256.1555703180017
3.87,249.05149252794362
3.88,240.6939116479584
3.89,241.06472732398095
3.90,257.65428300904034
3.91,277.0793216350826
